         11386 function calls (10288 primitive calls) in 9.132 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    8.104    1.351    8.164    1.361 {method 'mainloop' of '_tkinter.tkapp' objects}
        2    0.686    0.343    0.686    0.343 {built-in method _tkinter.create}
      448    0.309    0.001    0.309    0.001 {method 'call' of '_tkinter.tkapp' objects}
        1    0.005    0.005    9.132    9.132 C:\Users\laneh\Documents\chess-nea-4\Chess-NEA\main.py:12(main)
       33    0.003    0.000    0.031    0.001 C:\Users\laneh\Documents\chess-nea-4\Chess-NEA\user_interface\loading_screen_wheel.py:60(draw_loading_screen)
      312    0.002    0.000    0.005    0.000 C:\Users\laneh\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:1497(_options)
      264    0.002    0.000    0.016    0.000 C:\Users\laneh\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2797(_create)
 1096/136    0.002    0.000    0.002    0.000 C:\Users\laneh\Documents\chess-nea-4\Chess-NEA\user_interface\loading_screen_wheel.py:8(fact)
      336    0.001    0.000    0.002    0.000 C:\Users\laneh\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:101(_cnfmerge)
      264    0.001    0.000    0.002    0.000 C:\Users\laneh\Documents\chess-nea-4\Chess-NEA\user_interface\loading_screen_wheel.py:45(<listcomp>)
        2    0.001    0.000    0.689    0.345 C:\Users\laneh\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2279(__init__)
      264    0.001    0.000    0.003    0.000 C:\Users\laneh\Documents\chess-nea-4\Chess-NEA\user_interface\loading_screen_wheel.py:44(rgb_to_hex)
       52    0.001    0.000    0.001    0.000 C:\Users\laneh\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:1542(_register)
      264    0.001    0.000    0.017    0.000 C:\Users\laneh\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2825(create_oval)
       32    0.001    0.000    0.001    0.000 C:\Users\laneh\Documents\chess-nea-4\Chess-NEA\chess_engine.py:212(__init__)
        2    0.001    0.000    5.375    2.688 C:\Users\laneh\Documents\chess-nea-4\Chess-NEA\user_interface\menu.py:120(menu)
       33    0.001    0.000    0.033    0.001 C:\Users\laneh\Documents\chess-nea-4\Chess-NEA\user_interface\loading_screen_wheel.py:67(run_loading_screen)
        6    0.001    0.000    0.210    0.035 C:\Users\laneh\Documents\chess-nea-4\Chess-NEA\user_interface\menu.py:52(__init__)
     1708    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        4    0.000    0.000    0.000    0.000 {method 'getvar' of '_tkinter.tkapp' objects}
       39    0.000    0.000    0.060    0.002 C:\Users\laneh\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:1916(__call__)
        2    0.000    0.000    0.034    0.017 C:\Users\laneh\Documents\chess-nea-4\Chess-NEA\user_interface\menu.py:8(centre)
